NOMS_NUMBER,DATE_OF_BIRTH,GIVEN_NAME_1,GIVEN_NAME_2,GIVEN_NAME_3,SURNAME,SALUTATION,GENDER_CODE,PNC_ID,NATIONALITY_CODE,CRIMINAL_RECORDS_OFFICE_NUMBER,ESTABLISHMENT_CODE,NOMIS_OFFENDER_ID,ETHNICITY_CODE,WORKING_NAME
A1234BC,1970/01/01 00:00:00,LARRY,,,LATITUDE,,M,,,,LEI,1056827,W1,Y
A1234BC,1970/01/01 00:00:00,LARRY,,,LATTITUDE,,M,,,,LEI,1055829,W1,N
A1234BU,1970/01/01 00:00:00,BOB,,,LATTITUDE,,M,,,,LEI,1055847,W1,Y
A1401AE,1970/01/01 00:00:00,JILLY,,,HALL,,F,,BRIT,,LEI,1055026,A1,Y
A1402AE,1970/01/01 00:00:00,SALLY,,,LAVIS,,F,,,,LEI,1055046,W1,Y
A1403AE,1976/08/23 00:00:00,JOHN,,,SMITH,,M,,,,LEI,1055066,W1,Y
A1404AE,1995/09/04 00:00:00,THOMAS,CONNOR,,HICKINBOTHAM,,M,,,,ISI,1055086,W1,Y
A1405AE,1962/02/04 00:00:00,MARK,,,HADLUM,,M,,,,OUT,1055106,W1,Y
A1406AE,1954/01/04 00:00:00,MICHAEL,,,JONES,,M,,,,LEI,1055126,B1,Y
A1407AE,1955/01/01 00:00:00,EDWARD,,,WEBBER,,M,,,,LEI,1055146,W1,Y
A1408AE,1990/01/01 00:00:00,ESTHER,,,OGANA,,F,,,,LEI,1055166,W1,Y
A1409AE,1989/01/21 00:00:00,JAMES,,,HALLS,,M,,,,LEI,1055186,W1,Y
A1410AE,1960/06/01 00:00:00,JILLY,,,HALLY,,F,,,,LEI,1055206,W1,Y
A1411AE,1959/09/23 00:00:00,GEORGE,,,MELLEY,,M,,BRIT,,LEI,1055226,W1,Y
A1412AE,1963/01/01 00:00:00,JAMES,,,BOND,MR,M,,,,LEI,1055246,W1,Y
A1413AE,1959/02/02 00:00:00,NORMAN,STANLEY,,FLETCHER,MR,M,,,,LEI,1055266,W1,Y
A1414AE,1968/03/03 00:00:00,LENNIE,,,GODBER,MR,M,,,,LEI,1055286,W1,Y
A1415AE,1975/04/04 00:00:00,KYLE,,,REECE,MR,M,,,,LEI,1055306,M1,Y
A1416AE,1945/05/05 00:00:00,RONALD,,,REAGAN,,M,,,,LEI,1055326,W1,Y
A1417AE,1962/06/06 00:00:00,GEORGE,,,BUSH,MR,M,,BRIT,,LEI,1055346,W1,Y
A1418AE,1996/07/07 00:00:00,ANDREW,,,CHILD,,M,,,,LEI,1055366,W1,Y
A1419AE,1975/08/08 00:00:00,JOHN,,,LEWIS,,M,,,,LEI,1055386,W1,Y
A1420AE,1996/09/09 00:00:00,JAMES,,,TAYLOR,,M,,,,LEI,1055406,A1,Y
A1421AE,1996/01/01 00:00:00,JAMES,,,HERBERT,,M,,,,LEI,1055426,W1,Y
A1422AE,1978/07/19 00:00:00,PATRICK,,,ROWETT,,M,,,,BXI,1055446,W1,Y
A1423AE,1974/06/05 00:00:00,JOHN,,,BALL,,M,,,,LEI,1055466,W1,Y
A1424AE,1954/06/15 00:00:00,CHARLES,,,BRODIE,,M,,,,LEI,1055486,B1,Y
A1425AE,1978/07/19 00:00:00,RICHARD,,,CALLAGHAN,,M,,,,LEI,1055506,W1,Y
A1427AE,1976/02/11 00:00:00,CHRISTOPHER,,,WESTON,,M,,,,ISI,1055546,W3,Y
A1429AE,1980/01/01 00:00:00,JOE,JIM,JAM,BLOGGS,MR,M,,,,ALI,1055586,W1,Y
A1430AE,1970/01/01 00:00:00,JOHNSON,,,SMITH,,M,,,,LEI,1055606,W1,Y
A1433AE,1985/09/10 00:00:00,DOM,,,SMITH,,M,,IRISH,12345,LEI,1055627,W3,Y
A1433AE,1985/09/10 00:00:00,DOM1,,,SMYTH,,M,,IRISH,,LEI,1058447,W1,N
A1435AE,1958/04/14 00:00:00,ALI,,,OSBORNE,,NS,,,,LEI,1055667,B1,Y
A1436AE,1945/05/14 00:00:00,MELVIN,,,DOUGLAS,,M,,,,LEI,1055687,W1,Y
A1437AE,1975/01/23 00:00:00,JEREMY,,,DELGADO,,M,,,,LEI,1055707,W1,Y
A1438AE,1989/01/12 00:00:00,MALCOM,,,ROY,,M,,,,LEI,1055708,B1,Y
A1439AE,1977/05/08 00:00:00,NOAH,,,MOLINA,,M,,,,LEI,1055709,W1,Y
A1440AE,1966/02/18 00:00:00,CARSON,,,WRIGHT,,M,,,,LEI,1055710,A1,Y
A1441AE,1955/04/02 00:00:00,DANIEL,,,HESTER,,M,,,,LEI,1055711,W1,Y
A1442AE,1970/09/05 00:00:00,ALADDIN,,,ROSARIO,,M,,,,LEI,1055712,B1,Y
A1443AE,1946/02/05 00:00:00,JASON,,,REEVES,,M,,,,LEI,1055713,W1,Y
A1444AE,1945/05/06 00:00:00,JERMAINE,,,BENDER,,M,,,,LEI,1055714,W2,Y
A1445AE,1948/08/21 00:00:00,DUNCAN,,,YATES,,M,,,,LEI,1055715,W1,Y
A1446AE,1949/09/14 00:00:00,ELMO,,,ALBERT,,M,,,,LEI,1055716,W1,Y
