NOMS_NUMBER,DATE_OF_BIRTH,GIVEN_NAME_1,GIVEN_NAME_2,GIVEN_NAME_3,SURNAME,SALUTATION,GENDER_CODE,PNC_ID,NATIONALITY_CODE,CRIMINAL_RECORDS_OFFICE_NUMBER,ESTABLISHMENT_CODE,NOMIS_OFFENDER_ID,ETHNICITY_CODE,WORKING_NAME,SOI_IDENTITY_ID,SOI_OFFENDER_ID
"A1234BC","1970/01/01","LARRY","","","LATITUDE","","M","2004/3318086A","IRISH","","LEI","1056827","W2","Y","4a39e889-7aa7-817c-e050-16ac01107c5c","4a39e889-7aa6-817c-e050-16ac01107c5c"
"A1234BC","1970/01/01","LARRYGFD","","","LATTITUDE","","M","","IRISH","12345^67890123","LEI","1055829","M3","N","4a39e889-7aa8-817c-e050-16ac01107c5c","4a39e889-7aa6-817c-e050-16ac01107c5c"
"A1234BU","1970/01/01","BOB","","","LATTITUDE","","M","","","","LEI","1055847","","Y","4a39e889-7aaa-817c-e050-16ac01107c5c","4a39e889-7aa9-817c-e050-16ac01107c5c"
"A1401AE","1970/01/01","JILLY","","","HALL","","F","","BRIT","","LEI","1055026","NS","Y","4a39e889-7aac-817c-e050-16ac01107c5c","4a39e889-7aab-817c-e050-16ac01107c5c"
"A1402AE","1970/01/01","SALLY","","","LAVIS","","F","","","","LEI","1055046","","Y","4a39e889-7aae-817c-e050-16ac01107c5c","4a39e889-7aad-817c-e050-16ac01107c5c"
"A1403AE","1976/08/23","JOHN","","","SMITH","","M","","","","LEI","1055066","","Y","4a39e889-7ab0-817c-e050-16ac01107c5c","4a39e889-7aaf-817c-e050-16ac01107c5c"
"A1404AE","1995/09/04","THOMAS","CONNOR","","HICKINBOTHAM","","M","","","","ISI","1055086","","Y","4a39e889-7ab2-817c-e050-16ac01107c5c","4a39e889-7ab1-817c-e050-16ac01107c5c"
"A1405AE","1962/02/04","MARK","","","HADLUM","","M","","","","OUT","1055106","W1","Y","4a39e889-7ab4-817c-e050-16ac01107c5c","4a39e889-7ab3-817c-e050-16ac01107c5c"
"A1406AE","1954/01/04","MICHAEL","","","JONES","","M","","","111111","LEI","1055126","","Y","4a39e889-7ab6-817c-e050-16ac01107c5c","4a39e889-7ab5-817c-e050-16ac01107c5c"
"A1407AE","1955/01/01","EDWARD","","","WEBBER","","M","","","","LEI","1055146","","Y","4a39e889-7ab8-817c-e050-16ac01107c5c","4a39e889-7ab7-817c-e050-16ac01107c5c"
"A1408AE","1990/01/01","ESTHER","","","OGANA","","F","","","","LEI","1055166","","Y","4a39e889-7aba-817c-e050-16ac01107c5c","4a39e889-7ab9-817c-e050-16ac01107c5c"
"A1409AE","1989/01/21","JAMES","","","HALLS","","M","","","","LEI","1055186","W1","Y","4a39e889-7abc-817c-e050-16ac01107c5c","4a39e889-7abb-817c-e050-16ac01107c5c"
"A1410AE","1960/06/01","JILLY","","","HALLY","","F","","","","LEI","1055206","","Y","4a39e889-7abe-817c-e050-16ac01107c5c","4a39e889-7abd-817c-e050-16ac01107c5c"
"A1411AE","1959/09/23","GEORGE","","","MELLEY","","M","","BRIT","","LEI","1055226","W1","Y","4a39e889-7ac0-817c-e050-16ac01107c5c","4a39e889-7abf-817c-e050-16ac01107c5c"
"A1412AE","1963/01/01","JAMES","","","BOND","MR","M","","","","LEI","1055246","W1","Y","4a39e889-7ac2-817c-e050-16ac01107c5c","4a39e889-7ac1-817c-e050-16ac01107c5c"
"A1413AE","1959/02/02","NORMAN","STANLEY","","FLETCHER","MR","M","","","","LEI","1055266","W1","Y","4a39e889-7ac4-817c-e050-16ac01107c5c","4a39e889-7ac3-817c-e050-16ac01107c5c"
"A1414AE","1968/03/03","LENNIE","","","GODBER","MR","M","","","","LEI","1055286","","Y","4a39e889-7ac6-817c-e050-16ac01107c5c","4a39e889-7ac5-817c-e050-16ac01107c5c"
"A1415AE","1975/04/04","KYLE","","","REECE","MR","M","","","","LEI","1055306","","Y","4a39e889-7ac8-817c-e050-16ac01107c5c","4a39e889-7ac7-817c-e050-16ac01107c5c"
"A1416AE","1945/05/05","RONALD","","","REAGAN","","M","","","","LEI","1055326","","Y","4a39e889-7aca-817c-e050-16ac01107c5c","4a39e889-7ac9-817c-e050-16ac01107c5c"
"A1417AE","1962/06/06","GEORGE","","","BUSH","MR","M","","BRIT","","LEI","1055346","","Y","4a39e889-7acc-817c-e050-16ac01107c5c","4a39e889-7acb-817c-e050-16ac01107c5c"
"A1418AE","1996/07/07","ANDREW","","","CHILD","","M","","","","LEI","1055366","","Y","4a39e889-7ace-817c-e050-16ac01107c5c","4a39e889-7acd-817c-e050-16ac01107c5c"
"A1419AE","1975/08/08","JOHN","","","LEWIS","","M","","","","LEI","1055386","","Y","4a39e889-7ad0-817c-e050-16ac01107c5c","4a39e889-7acf-817c-e050-16ac01107c5c"
"A1420AE","1996/09/09","JAMES","","","TAYLOR","","M","","","","LEI","1055406","","Y","4a39e889-7ad2-817c-e050-16ac01107c5c","4a39e889-7ad1-817c-e050-16ac01107c5c"
"A1421AE","1996/01/01","JAMES","","","HERBERT","","M","","","","LEI","1055426","","Y","4a39e889-7ad4-817c-e050-16ac01107c5c","4a39e889-7ad3-817c-e050-16ac01107c5c"
"A1422AE","1978/07/19","PATRICK","","","ROWETT","","M","","","","BXI","1055446","","Y","4a39e889-7ad6-817c-e050-16ac01107c5c","4a39e889-7ad5-817c-e050-16ac01107c5c"
"A1423AE","1974/06/05","JOHN","","","BALL","","M","","","","LEI","1055466","","Y","4a39e889-7ad8-817c-e050-16ac01107c5c","4a39e889-7ad7-817c-e050-16ac01107c5c"
"A1424AE","1954/06/15","CHARLES","","","BRODIE","","M","","","","LEI","1055486","","Y","4a39e889-7ada-817c-e050-16ac01107c5c","4a39e889-7ad9-817c-e050-16ac01107c5c"
"A1425AE","1978/07/19","RICHARD","","","CALLAGHAN","","M","","","","LEI","1055506","","Y","4a39e889-7adc-817c-e050-16ac01107c5c","4a39e889-7adb-817c-e050-16ac01107c5c"
"A1426AE","1969/02/01","RICHARD","","","STUBBS","","M","","","","","1055526","","N","4a39e889-7ade-817c-e050-16ac01107c5c","4a39e889-7add-817c-e050-16ac01107c5c"
"A1427AE","1976/02/11","CHRISTOPHER","","","WESTON","","M","","","","ISI","1055546","","Y","4a39e889-7ae0-817c-e050-16ac01107c5c","4a39e889-7adf-817c-e050-16ac01107c5c"
"A1428AE","1970/01/01","TEST1","","","TEST","","M","","","","","1055566","","N","4a39e889-7ae2-817c-e050-16ac01107c5c","4a39e889-7ae1-817c-e050-16ac01107c5c"
"A1429AE","1980/01/01","JOE","JIM","JAM","BLOGGS","MR","M","","","","ALI","1055586","W1","Y","4a39e889-7ae4-817c-e050-16ac01107c5c","4a39e889-7ae3-817c-e050-16ac01107c5c"
"A1430AE","1970/01/01","JOHNSON","","","SMITH","","M","","","","LEI","1055606","","Y","4a39e889-7ae6-817c-e050-16ac01107c5c","4a39e889-7ae5-817c-e050-16ac01107c5c"
"A1431AE","1979/12/09","HOFFMAN","","","MARTHA","","F","","","","","1055607","","N","4a39e889-7ae8-817c-e050-16ac01107c5c","4a39e889-7ae7-817c-e050-16ac01107c5c"
"A1432AE","1985/10/09","SMITH","","","DOM","","M","","","","","1055608","","N","4a39e889-7aea-817c-e050-16ac01107c5c","4a39e889-7ae9-817c-e050-16ac01107c5c"
"A1433AE","1985/09/10","DOM","","","SMITH","","M","","IRISH","12345^45678","LEI","1055627","W2","Y","4a39e889-7aec-817c-e050-16ac01107c5c","4a39e889-7aeb-817c-e050-16ac01107c5c"
"A1433AE","1985/09/10","DOM1","","","SMYTH","","M","","IRISH","","LEI","1058447","W8","N","4a39e889-7aed-817c-e050-16ac01107c5c","4a39e889-7aeb-817c-e050-16ac01107c5c"
"A1434AE","1983/06/30","DOM","","","SMITH","","M","","","","","1055647","","N","4a39e889-7aef-817c-e050-16ac01107c5c","4a39e889-7aee-817c-e050-16ac01107c5c"
"A1435AE","1958/04/14","ALI","","","OSBORNE","","NS","","","","LEI","1055667","","Y","4a39e889-7af1-817c-e050-16ac01107c5c","4a39e889-7af0-817c-e050-16ac01107c5c"
"A1436AE","1945/05/14","MELVIN","","","DOUGLAS","","M","","","","LEI","1055687","","Y","4a39e889-7af3-817c-e050-16ac01107c5c","4a39e889-7af2-817c-e050-16ac01107c5c"
"A1437AE","1975/01/23","JEREMY","","","DELGADO","","M","","","","LEI","1055707","","Y","4a39e889-7af5-817c-e050-16ac01107c5c","4a39e889-7af4-817c-e050-16ac01107c5c"
"A1438AE","1989/01/12","MALCOM","","","ROY","","M","","","","LEI","1055708","","Y","4a39e889-7af7-817c-e050-16ac01107c5c","4a39e889-7af6-817c-e050-16ac01107c5c"
"A1439AE","1977/05/08","NOAH","","","MOLINA","","M","","","","LEI","1055709","","Y","4a39e889-7af9-817c-e050-16ac01107c5c","4a39e889-7af8-817c-e050-16ac01107c5c"
"A1440AE","1966/02/18","CARSON","","","WRIGHT","","M","","","","LEI","1055710","","Y","4a39e889-7afb-817c-e050-16ac01107c5c","4a39e889-7afa-817c-e050-16ac01107c5c"
"A1441AE","1955/04/02","DANIEL","","","HESTER","","M","","","","LEI","1055711","","Y","4a39e889-7afd-817c-e050-16ac01107c5c","4a39e889-7afc-817c-e050-16ac01107c5c"
"A1442AE","1970/09/05","ALADDIN","","","ROSARIO","","M","","","","LEI","1055712","","Y","4a39e889-7aff-817c-e050-16ac01107c5c","4a39e889-7afe-817c-e050-16ac01107c5c"
"A1443AE","1946/02/05","JASON","","","REEVES","","M","","","","LEI","1055713","","Y","4a39e889-7b01-817c-e050-16ac01107c5c","4a39e889-7b00-817c-e050-16ac01107c5c"
"A1444AE","1945/05/06","JERMAINE","","","BENDER","","M","","","","LEI","1055714","","Y","4a39e889-7b03-817c-e050-16ac01107c5c","4a39e889-7b02-817c-e050-16ac01107c5c"
"A1445AE","1948/08/21","DUNCAN","","","YATES","","M","","","","LEI","1055715","","Y","4a39e889-7b05-817c-e050-16ac01107c5c","4a39e889-7b04-817c-e050-16ac01107c5c"
"A1446AE","1949/09/14","ELMO","","","ALBERT","","M","","","","LEI","1055716","","Y","4a39e889-7b07-817c-e050-16ac01107c5c","4a39e889-7b06-817c-e050-16ac01107c5c"
"A1447AE","1948/10/04","TANEK","","","CURTIS","","M","","","","LEI","1055717","","Y","4a39e889-7b09-817c-e050-16ac01107c5c","4a39e889-7b08-817c-e050-16ac01107c5c"
"A1448AE","1966/05/31","NISSIM","","","LAMBERT","","M","","","","LEI","1055718","","Y","4a39e889-7b0b-817c-e050-16ac01107c5c","4a39e889-7b0a-817c-e050-16ac01107c5c"
"A1449AE","1992/12/11","MANNIX","","","MARSH","","M","","","","ISI","1055719","","Y","4a39e889-7b0d-817c-e050-16ac01107c5c","4a39e889-7b0c-817c-e050-16ac01107c5c"
"A1450AE","1986/12/30","NICHOLAS","","","FINNEY","","M","","","","LEI","1055720","","Y","4a39e889-7b0f-817c-e050-16ac01107c5c","4a39e889-7b0e-817c-e050-16ac01107c5c"
"A1451AE","1981/06/23","CIARAN","","","MCINTOSH","","M","","","","LEI","1055721","","Y","4a39e889-7b11-817c-e050-16ac01107c5c","4a39e889-7b10-817c-e050-16ac01107c5c"
"A1452AE","1987/12/03","DANIEL","","","SMITH","","M","","","","","1055727","","N","4a39e889-7b13-817c-e050-16ac01107c5c","4a39e889-7b12-817c-e050-16ac01107c5c"
"A1453AE","1949/08/31","DRAKE","","","DAVIS","","M","","","","","1055747","","N","4a39e889-7b15-817c-e050-16ac01107c5c","4a39e889-7b14-817c-e050-16ac01107c5c"
"A1454AE","1949/09/25","BRUNO","","","HUNT","","M","","","","","1055748","","N","4a39e889-7b17-817c-e050-16ac01107c5c","4a39e889-7b16-817c-e050-16ac01107c5c"
"A1455AE","1967/04/24","JEROME","","","MOSLEY","","M","","","","","1055767","","N","4a39e889-7b19-817c-e050-16ac01107c5c","4a39e889-7b18-817c-e050-16ac01107c5c"
"A1456AE","1982/02/03","STEVE","","","MARSHALL","","M","","","","","1055787","","N","4a39e889-7b1b-817c-e050-16ac01107c5c","4a39e889-7b1a-817c-e050-16ac01107c5c"
"A1457AE","1967/07/12","EDDIE","","","MARS","","M","","","","LEI","1055807","","Y","4a39e889-7b1d-817c-e050-16ac01107c5c","4a39e889-7b1c-817c-e050-16ac01107c5c"
"A1458AE","1955/05/13","VITO","","","CORLEONE","","M","","","","BMI","1055808","","Y","4a39e889-7b1f-817c-e050-16ac01107c5c","4a39e889-7b1e-817c-e050-16ac01107c5c"
"A1459AE","1976/06/12","JAMES","","","LATITUDE","","M","ABCD123456789012345","","DDSADES9372","LEI","1056828","","Y","4a39e889-7b21-817c-e050-16ac01107c5c","4a39e889-7b20-817c-e050-16ac01107c5c"
"A1459AE","1976/06/12","JAMES","","","LATTITUDE","","M","","","","LEI","1055867","","N","4a39e889-7b22-817c-e050-16ac01107c5c","4a39e889-7b20-817c-e050-16ac01107c5c"
"A1459AE","1976/06/12","JIM","","","LATTITUDE","","M","","","","LEI","1055827","","N","4a39e889-7b23-817c-e050-16ac01107c5c","4a39e889-7b20-817c-e050-16ac01107c5c"
"A1459AE","1982/06/12","JIMBO","","","LATTITUDE","","M","","","","LEI","1055868","","N","4a39e889-7b24-817c-e050-16ac01107c5c","4a39e889-7b20-817c-e050-16ac01107c5c"
"A1460AE","1985/05/01","FRED","","","LATTITUDE","","M","","","","BMI","1055828","","Y","4a39e889-7b26-817c-e050-16ac01107c5c","4a39e889-7b25-817c-e050-16ac01107c5c"
"A1463AE","1970/01/01","NUTTY","","","BAR","","M","","","","","1056807","","N","4a39e889-7b28-817c-e050-16ac01107c5c","4a39e889-7b27-817c-e050-16ac01107c5c"
"A1464AE","1981/10/10","KUMAR","","","DHUMKE","","M","","BRIT","","OUT","1056847","","Y","4a39e889-7b2a-817c-e050-16ac01107c5c","4a39e889-7b29-817c-e050-16ac01107c5c"
