OFFENDER_ID,TITLE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,SUFFIX,BIRTH_DATE,SEX_CODE,NOMS_ID,ETHNICITY_CODE,ETHNICITY,CRO_NUMBER,PNC_NUMBER,WORKING_NAME,NATIONALITY,SECOND_NATIONALITY,SEXUAL_ORIENTATION,ROOT_OFFENDER_ID
1014222,,MOVEMENT,TEST33,TAP,,01/01/70,M,A1925AA,,,,,Y,,,,1014222
1014223,,ABE,,ADEYO,,12/06/60,M,A1926AA,B2,Black/Black British: African,,,,,,,1014223
1014224,MR,BEN,,ADEYO,,12/06/61,M,A1927AA,B1,Black/Black British: Caribbean,,,,,,,1014224
1014225,MR,CARLOS,,ADEYO,,12/06/62,M,A1928AA,B2,Black/Black British: African,,,,,,,1014225
1014226,MR,DEVLIN,,ADEYO,,12/06/63,M,A1929AA,,,,,Y,,,,1014226
1014227,,ECHEO,,ADEYO,,12/06/64,M,A1930AA,M9,Mixed: Any other background,,,Y,,,,1014227
1014228,MR,FEDDEO,,ADEYO,,12/06/65,M,A1931AA,,,,,Y,,,,1014228
1014229,MR,BILLY,,CELL,,12/12/71,M,A1932AA,,,,,Y,,,,1014229
1014230,MR,HARADA,,ADEYO,,12/06/67,M,A1933AA,,,,,,,,,1014230
1014231,MR,IVAN,,ADEYO,,12/06/68,M,A1934AA,,,,,Y,,,,1014231
1014232,MR,JACKLIN,,ADEYO,,12/06/69,M,A1935AA,,,,,Y,,,,1014232
1014233,,KEITH,,ADEYO,,15/02/57,M,A1936AA,W2,White : Irish,,,Y,,,,1014233
1014234,MR,TD7852,,TD7852,,26/03/62,M,A1937AA,,,,,Y,,,,1014234
1014237,MRS,BETTY,,PNC,,12/05/85,F,A1940AA,,,,1990/0147570W,Y,,,,1014237
1014241,,ONE,,TRHDC,,12/03/71,M,A1941AA,,,,,Y,,,,1014241
1014242,,TWO,,TRHDC,,03/03/61,M,A1942AA,,,,,Y,,,,1014242
1014244,,THREE,,TRHDC,,23/07/67,M,A1944AA,,,,,Y,,,,1014244
1014247,,SFDFD,,SDS,,12/12/80,M,A3611AA,,,,1979/7318F,,,,,1005466
1014248,,DAVE,,DONAVAN,,26/06/82,M,A1946AA,,,,05/6758236J,Y,,,,1014248
1014251,,JOHN,ALLAN,LIDS,,16/08/65,M,A1949AA,W1,White: Eng./Welsh/Scot./N.Irish/British,1234567890,,,,,,1014251
1014253,,MALCOLM,,MUGGINS,,15/06/64,M,A1950AA,,,,,Y,,,,1014253
1014254,MR,HARRY,,HALLIBURT,,16/03/54,M,A1951AA,,,,,Y,,,,1014254
1014255,,TEST,,CR380,,12/07/82,M,A1952AA,,,,,Y,,,,1014255
1014257,,TOM,,ALEXANDER,,19/10/88,M,A1954AA,O9,Other: Any other background,,02/153W,Y,,,,1014257
1014258,,TIM,,ALEX,,11/03/85,M,A1955AA,,,,,,,,,1014258
1014259,,JOHN,,SMITH,,11/11/50,M,A1956AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,BRITISH,,GAY / LESBIAN,1014259
1014260,,JOHN,,JONES,,22/10/88,M,A1957AA,,,,,,,,,1014260
1014261,,EDWARD,,TREVOR,,22/11/88,M,A1958AA,,,,,Y,,,,1014261
1014262,,TREVOR,,EDWARD,,12/11/81,M,A1959AA,,,,,Y,,,,1014262
1014263,,JON,,WALKER,,16/03/65,M,A1960AA,,,,,Y,,,,1014263
1014264,,HARRY,,WALKER,,26/03/57,M,A1961AA,,,,,Y,,,,1014264
1014266,,TOM,,BALL,,15/03/45,M,A1963AA,B2,Black/Black British: African,,,Y,,,,1014266
1014267,,DAVE,,EXERCISE1,,20/07/73,M,A1964AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1014267
1010617,,EDU6,,BO-OFFENDER,,11/08/74,M,A8562AA,M3,Mixed: White and Asian,,,Y,,,,1010617
1010618,,EDU7,,BO-OFFENDER,,03/04/77,M,A8563AA,M3,Mixed: White and Asian,,,Y,IRISH,,,1010618
1010620,,EDU9,,BO-OFFENDER,,14/01/76,M,A8565AA,W1,White: Eng./Welsh/Scot./N.Irish/British,,,Y,,,,1010620
